IDPatologia,NomePatologia,Tipologia
71,Sindrome di Sjögren cronica severa con secchezza oculare e orale invalidanti e coinvolgimento sistemico,Cronica
72,Mastocitosi sistemica cronica severa con sintomi sistemici invalidanti,Cronica
73,Porfiria acuta intermittente cronica con attacchi ricorrenti severi,Cronica
74,Malattia di Behçet cronica con manifestazioni mucocutanee e oculari e sistemiche ricorrenti,Cronica
75,Granulomatosi con poliangioite (GPA/Wegener) cronica con coinvolgimento renale e respiratorio,Cronica
76,Poliarterite nodosa cronica con coinvolgimento multiorgano,Cronica
77,Arterite a cellule giganti (arterite temporale) cronica con rischio di cecità e complicanze vascolari,Cronica
78,Malattia di Kawasaki cronica con complicanze cardiache (aneurismi coronarici),Cronica
79,Sindrome di Marfan con coinvolgimento scheletrico e oculare e cardiovascolare progressivo,Cronica
80,Sindrome di Ehlers-Danlos cronica con ipermobilità articolare e fragilità cutanea e complicanze vascolari,Cronica
81,Emorragia cerebrale massiva,Mortale
82,Infarto miocardico acuto esteso,Mortale
83,Dissezione aortica tipo A,Mortale
84,Shock settico,Mortale
85,Arresto cardiaco refrattario,Mortale
86,Embolia polmonare massiva,Mortale
87,Peritonite acuta diffusa con sepsi,Mortale
88,Insufficienza respiratoria acuta grave (ARDS),Mortale
89,Stato di male epilettico refrattario,Mortale
90,Rabdomiolisi severa con insufficienza renale acuta,Mortale
91,Meningite fulminante,Mortale
92,Encefalite virale grave,Mortale
93,Pancreatite acuta necrotico-emorragica,Mortale
94,Sindrome di Stevens-Johnson/Necrolisi epidermica tossica estesa,Mortale
95,Ustioni di terzo grado su oltre il 70% della superficie corporea,Mortale
96,Trauma cranico grave con ematoma subdurale acuto,Mortale
97,Lesione spinale alta con tetraplegia completa,Mortale
98,Rottura di aneurisma cerebrale con emorragia subaracnoidea massiva,Mortale
99,Tamponamento cardiaco acuto,Mortale
100,Pneumotorace iperteso bilaterale,Mortale
